Object Code Number,Object Code Name,Description of Code Name
1,FULL YEAR POSITIONS,Full time personnel
4,FULL TIME UNIFORMED PERSONNEL,Full time uniformed personnel
5,FULL TIME PEDAGOGICAL PRSONNEL,Full time pedagogical personnel
9,REGULAR GROSS HOLDING CODE,Regular gross holding
21,PART-TIME POSITIONS,Part-time positions
22,SEASONAL POSITIONS,Seasonal positions
31,UNSALARIED,Unsalaried
35,CUSTODIAL ALLOWANCES,Custodial Allowances
39,HEALTH CLUB REIMBURSEMENT,Health club reimbursement
40,EDUC AND LICENCE DIFFERENTIAL,"A payment above base pay, based on education or license"
41,ASSIGNMENT DIFFERENTIAL,"A payment above base pay, based on performing specific or unique tasks"
42,LONGEVITY DIFFERENTIAL,"A payment above base pay, based on years of service"
43,SHIFT DIFFERENTIAL,Extra compensation received for hours worked  are outside 8AM-5PM (or typical working hours)
44,SALARY DIFF IN EXCESS MAXIMUM,Salary differential in excess maximum
45,HOLIDAY PAY,Holiday pay
46,TERMINAL LEAVE,Terminal leave or remainder of leave payments
47,OVERTIME,Overtime pay
48,OVERTIME UNIFORM FORCES,Overtime pay for uniformed forces
49,BACKPAY - PRIOR YEARS,Backpay - Prior Years
50,PMTS TO BENEFIC DECSD EMPLOYES,Payments to beneficiaries of deceased employees
51,SALARY ADJUSTMENTS,Salary adjustments
52,SEVERANCE PAYMENT,Severance payment
53,AMOUNT TO BE SCHEDULED-PS,Personal services amounts still to be budgeted
54,SALARY REVIEW ADJUSTMENTS,Salary review adjustments
55,SALARY ADJUSTMENTS LABOR RSRVE,Salary adjustments labor reserve
56,EARLY RET.TERMINAL LEAVE......,Early retirement terminal leave
57,BONUS PAYMENTS,Bonus Payments
58,NON-PENSIONABLE-PREPARATION PD,Non-pensionable-preparation PD
60,INT ON DEF WAGES/LATE WAGE ADJ,Interest on deffered wages and late wages adjustment
61,SUPPER MONEY,Supper money
62,HEALTH INSURANCE PLAN CITY EMP,Health insurance plan for City employees
63,DISABILITY BENEFITS INSURANCE,Disability benefits insurance
64,ALLOWANCE FOR UNIFORMS,Allowance for uniforms
65,SOCIAL SECURITY CONTRIBUTIONS,Social security contributions
66,UNEMPLOYMENT INSURANCE,Unemployment insurance
67,SUPPLEMENTAL EMPLOYEE WELF BEN,Supplemental employee welfare benefit
68,FACULTY WELFARE BENEFITS,Faculty welfare benefits
70,ACTUARIAL PENSION COSTS,Pension actuary costs to ensure solvency of retirement plans
71,NON-ACTUARIAL PENSION COSTS,Non-actuarial pension costs
72,CONTINGENT RESERVE FUND,Contingent Reserve Fund
75,SUPPLEMENTAL PENSION FUND,Supplemental pension fund
76,CULTURAL INSTITUT PENSION FUND,Cultural Institution Pension Fund
77,TEACH RET SYS PENS FND RES #2,Teacher retirement system pension fund reserve #7
79,TEACH RET SYS CONTINGNT RES SY,Teacher retirement system contingent reserve system
80,TIAA-COLLEGE RET EQUITY FUND,TIAA (Teachers Insurance and Annuity Association) college retirement equity fund
81,ANNUITY CONTRIBUTIONS,Annuity contributions
82,POLICE ACTUARIAL PENSION FUND,Police actuarial pension fund
83,FIRE ACTUARIAL PENSION FUND,Fire actuarial pension fund
84,BOARD OF EDUCATION RETIRE. SYS,Board of Education Retirement System
85,AWARDS/EXPENSES-WORKMENS COMP,Workers comp awards and expenses
86,WORKMAN'S COMPENSATION OTHER,Workman's compensation other
89,FRINGE BENEFITS-OTHER,Fringe benefits other
90,UNRECOVERABLE PAYROLL EXPENSE,Unrecoverable payroll expense
91,PARAPROFESSIONAL PER SESSION,"Paraprofessional (teacher aide, educational asisstant, etc) payment"
94,ADDITIONAL PENSION ACCRUAL,Additional pension coverage based on years of service
95,PAYROLL REFUND,Payroll refund
99,ADD GROSS(& FRINGES) HOLD CODE,Additional gross pay
100,Supplies and Materials General,Charge to this account all supplies not specifically classified in any of the other supply accounts.
101,Printing Supplies,Charge to this account all printing and printing related costs that are not contractual in nature.
105,Automotive Supplies and Materials,"Charge to this account all expenditures for items and substances solely or primarily used in connection with the operation and maintenance of automotive equipment. Examples of automotive supplies includes tires, SP.ark plugs, filters, motor oil, etc."
106,Motor Vehicle Fuel,"Charge to this account all gasoline or alternative fuels related to operation of a motor vehicle. Included in this account are costs associated with the operation of automobiles, motorcycles, scooters, helicopters, trucks, buses, boats, and other vehicles that are motor propelled."
107,Medical Surgical and Laboratory Supplies,"Charge to this account the cost of items the nature of which indicates that they are solely or primarily used in rendering medical, hospital, surgical, laboratory and veterinary services."
109,Fuel Oil,"Charge to this account the cost of fuel oils which are consumed in the ordinary heating, lighting, cooking, and power operations in buildings, etc.,excluding natural gas and electric services purchased from utilities (see object 423 - Heat, Light, and Power)."
110,Food and Forage Supplies,Charge to this account the cost of all provisions used for human and animal consumption.
117,Postage,"Charge to this account payments for postal services in various forms, i.e., stamps, metered postage, postal cards, stamped value of stamped envelopes, registered mail, special delivery, overnight mail, and parcel post."
130,Instructional Supplies,"Charge to this account all supplies used in the. direct instruction of children. This code includes, but is not limited to, such items as classroom supplies (chalk, crayons, maps, etc.), and other general instructional supplies (games, athletic supplies, library supplies not otherwise charged to object 338 and home economics supplies not otherwise charged to object 110)."
132,Expenditures Relative to Commissaries,Charge to this account purchases of supplies for the commissaries in the various City prison and shelter facilities.
133,Expenditures Relative to Manufacturing Industries,Charge to this account the purchase of raw materials which will be used in the manufacture of various goods by City prison inmates.
169,Maintenance  Supplies,"Charge to this account materials used in repair, replacement and maintenance of heating, plumbing and refrigeration systems; small tools and machine parts; lumber, glass and paint for building maintenance; electrical supplies and other items such as unlubricated metal sheets and bars."
170,Cleaning Supplies,"Charge to this account the purchase of custodial supplies (i.e., cleaning agents, waxes, polishes, sealers, sweeping compounds, sponges, disinfectants, mops, brooms, etc.)."
199,Data Processing Supplies,"Charge to this account all supplies associated with the operation of personal computers, printers, and data processing equipment (i.e., computer diskettes, computer books and manuals, printing ribbons, computer software, etc.)."
300,Equipment General,Charge to this account all equipment not specifically classified in any of the other equipment accounts
302,Telecommunications Equipment,"Charge to this account the cost of purchasing telecommunications equipment; including telephones, answering machines, paging devices, fax machines, etc."
304,Motor Vehicle Equipment,"Charge to this account the cost of engines, bodies and chassis when purchased as complete individual units, whether used for replacement or assembly purposes. Such items may be distinguished from purchases of material and parts because they comprise the major individual cost of the completed machine"
305,Motor Vehicles,"Charge to this account the cost of all standard make and specially designed automobiles, buses, trucks and motorcycles, etc. of a self-propelling nature."
307,Medical Surgical and Laboratory Equipment,"Charge to this account the cost of machinery, apparatus, surgical instruments and appliances, and other equipment especially designed for use by professional medical persons in the treatment of patients or laboratory work at medical institutions or laboratories."
314,Office Furniture,"Charge to this account the cost of all metal and wood office furniture (i.e., desks, chairs, tables, bookcases, file cabinets)."
315,Office Equipment,"Charge to this account the cost of office equipment (i.e., typewriters, calculators, fans, lamps, pencil sharpeners)."
319,Security Equipment,"Charge to this account all payments associated with the purchase or rental of security equipment, guard dogs, burglar and fire alarms and armored cars"
330,Instructional Equipment,"Charge to this account the purchase of classroom and instructional furniture, audiovisual equipment, and athletic equipment."
332,Purchases of Data Processing Equipment,"Charge to this account the cost of personal computers, video display terminals, printers, etc."
337,Books Other,"Charge to this account the purchase of all textbooks and workbooks; also, periodicals, magazines, subscriptions, newspapers,  etc. for other than library  purposes."
338,Library Books,"Charge to this account the purchase of all books, periodicals, magazines, etc. which are used for library purposes."
400,Contractual Expenditures General,Charge to this account all contractual expenditures not otherwise classified under a specific contractual expenditures account.
402,Telephone and Other Communications,"Charge to this account the rental cost covering telephone systems, cellular phone systems, mobile phone systems, fax machines, dictagraphs, voice mail, answering machine services, paging devices, computer modems and other telephone equipment."
403,Office Services ,"1) The cost of authorized membership dues and fees in technical associations and organizations; notary, recording, registration and searching fees. 2) Rentals of safe-deposit boxes, post office boxes, and water coolers which, due to their distinctive office service nature; are classified hereunder. 3) Inspection fees covering the cost of similar services with respect to buildings, structures, etc."
404,TRAVELING EXPENSES,Traveling expenses
406,PROFESSIONAL SVCS CONTRACTUAL,Professional services contractual payments
407,Maintenance and Repairs - Motor Vehicle Equipment,Charge to this account all expenditures for repair of motor vehicle equipment performed by City employees.
408,MAINTENANCE REPAIRS - GENERAL,Maintenance and repairs
412,Rentals Miscellaneous Equipment,Charge to this account all rental expenditures not otherwise classified under a specific rental  code.
413,Rentals Data Processing Equipment,Charge to this account the cost of rental of data processing equipment.
414,Rentals Land.Buildings and Structures,"Charge to this account rental of land, buildings, stores. and offices etc. Where the rental charge includes miscellaneous items such as light, heat and power, water, repairs and janitor services, etc., these items are to be included in this account."
415,PRINTING CONTRACTS,"All contractual printing and printing related costs other than printing supplies including stationary, forms, bulletins, manuals, pamphlets, etc."
417,Advertising,"Charge to this account all expenditures associated with advertising for such purposes as personnel recruitment, financial notices, legal notices, purchase and sale notices, examination notices and all other associated advertising items (see object 465  Obligatory  County Expenditures)."
419,SECURITY SERVICES,Payments associated with the employment of non-city employed security guards and correction officers.
423,Heat Light and Power,"Charge to this account expenditures for heat. light and power services purchased from a utility company. Include in this account all costs for heat, light, and power (electric, natural gas, steam) purchased for buildings and structures, as well as street and park lighting (see object 109 - Fuel Oil)."
427,Data Processing Services,Charge to this account all data processing services performed by other City agencies.
431,Leasing of Miscellaneous Equipment,Charge to this account all equipment leasing expenditures not otherwise classified under a specific leasing code.
432,Leasing of Pata Processjng Equipment,"Charge to this account the cost of leasing of data processing equipment, personal computers and printers, and the servicing thereof, if part of the lease agreement (if not, see object 613 - Data Processing Equipment Maintenance - Contractual)."
451,Local Travel Expenditures - General,"Charge to this account all authorized expenditures for in-City meal, transportation, and incidental expenses incurred for general business meetings."
452,Local Travel Expenditures - Special,"Charge to this account all authorized expenditures for in-City meal, transportation, registration, and incidental expenses incurred for education, training, professional/industry conferences and retreats."
453,Non Local Travel Expenditures - General,"Charge to this account all authorized expenditures for out-of_ City meal, transportation, lodging, and incidental expenses incurred for general business meetings."
454,Non Local Travel Expenditures - Special,"Charge to this account all authorized expenditures for out-of_ City meal, transportation, lodging, registration, and incidental expenses incurred for education, training, professional/industry conferences  and retreats."
456,Higher Education - Student Assistance,Charge to this account payments used for matching funds for federally-funded student assistance.
460,Special Expenditures,Charge to this account all special expenditures relative to elected officials and other criminaljustice activities.
464,Court Costs During Phased Takeover by State of New York,Charge to this account City share of court costs during phased takeover by State of New York.
